Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-05-29,6117.8,6532.47,6075.0,6470.43,1454.30973084,9197148.3851248,6324.0643929492
2018-05-30,6480.59,6549.98,6249.0,6337.68,1149.0663319,7362520.7564992,6407.3940312263
2018-05-31,6337.65,6506.18,6291.3,6406.12,1178.07349176,7594961.7206694,6446.9337217008
2018-06-01,6405.28,6520.0,6288.17,6446.96,769.74819842,4930763.4376745,6405.6836349802
2018-06-02,6446.96,6600.0,6381.5,6551.16,634.61547131,4150834.0916689,6540.707372136
2018-06-03,6547.22,6664.8,6520.01,6607.84,655.79076297,4337820.6348745,6614.641254215
2018-06-04,6610.12,6647.2,6356.28,6408.8,919.98291466,5940687.3219998,6457.3887485675
2018-06-05,6405.4,6537.9,6310.0,6499.15,1173.44276009,7519447.7607591,6408.0226292268
2018-06-06,6500.0,6543.18,6360.85,6501.99,746.78399972,4832599.2047679,6471.2141751561
2018-06-07,6501.99,6570.0,6468.0,6509.84,594.1632407,3871956.6303216,6516.6546246785
2018-06-08,6520.24,6523.48,6415.57,6478.94,531.52973126,3437050.8240319,6466.3378582499
2018-06-09,6478.94,6529.44,6359.42,6393.59,340.41055624,2197167.7016953,6454.4640623489
2018-06-10,6388.65,6388.65,5660.53,5763.07,2855.57201565,16826034.232534,5892.3515640014
2018-06-11,5763.08,5888.77,5635.49,5847.62,1981.13228323,11377998.915771,5743.1798028249
2018-06-12,5855.12,5855.12,5500.0,5582.1,1684.44715073,9618727.8734224,5710.3173995419
2018-06-13,5590.1,5638.64,5215.01,5347.29,2767.71396059,15008459.111294,5422.6915515845
2018-06-14,5348.24,5795.27,5325.33,5745.21,1926.96143285,10713830.182036,5559.9608790251
2018-06-15,5743.1,5763.77,5493.1,5517.11,1045.87670436,5905310.1745551,5646.2775678407
2018-06-16,5520.38,5643.46,5461.85,5597.82,649.57125399,3617763.7632317,5569.4640749719
2018-06-17,5597.8,5667.37,5540.0,5559.0,444.99253912,2492393.1924523,5600.9774846589
2018-06-18,5563.8,5855.42,5505.76,5764.5,1210.99717979,6847968.8958821,5654.8182028546
2018-06-19,5772.0,5916.32,5740.0,5824.69,995.38247881,5792735.5003667,5819.6076620638
2018-06-20,5822.54,5881.51,5669.07,5832.8,948.89490085,5475054.7702594,5769.9274865477
2018-06-21,5833.0,5880.53,5765.1,5795.87,887.65432452,5164425.6827698,5818.0595082016
2018-06-22,5796.08,5798.0,5101.0,5208.8,2684.08461259,14346820.049723,5345.1444795845
2018-06-23,5202.17,5392.87,5176.53,5294.39,666.70221435,3515696.3534928,5273.2633517956
2018-06-24,5305.63,5370.19,4899.13,5272.24,2447.75861514,12488365.85254,5101.9597174724
2018-06-25,5280.13,5440.57,5206.57,5337.1,1430.00848478,7605184.9134643,5318.2795727497
2018-06-26,5346.61,5366.3,5199.49,5223.44,1110.95921884,5896708.1689583,5307.7629394131
2018-06-27,5218.61,5345.0,5163.3,5299.5,1096.91289196,5770175.9538357,5260.3775524284
2018-06-28,5305.06,5325.51,5043.0,5066.6,937.8678224,4882282.2518827,5205.7253008094
2018-06-29,5064.9,5379.99,4970.5,5305.0,1608.0199526,8185565.0477209,5090.4623630358
